iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
190	0.0002640269077	1	0.0849
191	0.0002600050993	1	0.0849
192	0.0002581023893	1	0.0849
193	0.0002531866895	1	0.0849
194	0.0002513583198	1	0.0849
195	0.0002481740988	1	0.0849
196	0.0002430861746	1	0.0849
197	0.0002403664811	1	0.0849
198	0.0002364737764	1	0.0849
199	0.0002340458665	1	0.0849
